drawing_id;rev;issue_date;status;exists
AQ430773-00-45-32-D100_Designers_risk_assessment;;;;yes
AQ430773-01-45-32-1000;;;;yes
AQ430773-02-45-32-1104;;;;yes
AQ430773-00-45-32-1402;;;;yes
AQ430773-01-45-32-1103;;;;yes
AQ430773-00-45-32-1102;;;;yes
AQ430773-02-45-32-1000;;;;yes
AQ430773-00-45-32-1900;;;;yes
AQ430773-00-45-32-1201;;;;yes
AQ430773-00-45-32-1105;;;;yes
AQ430773-00-45-32-C120_Wall_propping_calculation;;;;yes
AQ430773-00-45-32-C110_Wall_calculation;;;;yes
AQ430773-02-45-32-M100_Tank02;;;;yes
AQ430773-00-45-32-1300;;;;yes
AQ430773-00-45-32-D000_Drawing_list;;;;yes
AQ430773-00-45-32-1301;;;;yes
AQ430773-00-45-32-1400;;;;yes
AQ430773-00-45-32-1100;;;;yes
AQ430773-00-45-32-4100;;;;yes
AQ430773-00-45-32-1200;;;;yes
AQ430773-01-45-32-M100_Tank01;;;;yes
